CSC,UPC
903822,903822
903826,903826
903848,903848
903860,903860
903931,903931
903959,903959
903962,903962
904052,904052
904054,904054
904072,904072
904153,904153
904164,9530113146
904186,904186
904220,904220
904225,904225
904903,904903
904950,904950
904998,904998
905016,905016
905062,905062
905088,905088
905093,905093
905121,905121
905152,905152
905193,905193
905247,905247
905253,905253
905265,905265
905266,905266
905267,905267
905268,905268
905287,905287
905922,905922
905945,905945
905946,905946
905972,90597216680307
905992,905992
905999,905999
906078,906078
906081,906081
906105,906105
906106,9392400001
906123,906123
906135,906135
906151,906151
906167,906167
906182,906182
906209,906209
906223,906223
906681,906681
906682,906682
906685,906685
906694,9794670368
906702,906702
906714,906714
906726,906726
906727,906727
906729,906729
906738,906738
906788,906788
906803,906803
906810,906810
906823,906823
906828,906828
906839,906839
906845,906845
907154,907154
907203,907203
907208,907208
907242,907242
907248,907248
